constituency_id,party,candidate,votes,vote_share
W07000049,Labour,Stephen Kinnock,15416,48.9
W07000049,UKIP,Peter Bush,4971,15.8
W07000049,Conservative,Edward Yi He,3742,11.9
W07000049,Plaid Cymru,Duncan Higgitt,3663,11.6
W07000049,Liberal Democrat,Helen Clarke,1397,4.4
W07000049,Independent,Captain Beany,1137,3.6
W07000049,Green Party,Jonathan Tier,711,2.3
W07000049,Socialist Labour Party,Andrew Jordan,352,1.1
W07000049,TUSC,Owen Herbert,134,0.4
W07000058,Conservative,Guto Bebb,12513,41.5
W07000058,Labour,Mary Wimbury,8514,28.2
W07000058,Plaid Cymru,Dafydd Meurig,3536,11.7
W07000058,UKIP,Andrew Haigh,3467,11.5
W07000058,Liberal Democrat,Victor Babu,1391,4.6
W07000058,Green Party,Petra Haig,727,2.4
S14000001,Scottish National Party,Kirsty Blackman,24793,56.4
S14000001,Labour,Richard Baker,11397,25.9
S14000001,Conservative,Sanjoy Sen,5304,12.1
S14000001,Liberal Democrat,Euan Davidson,2050,4.7
S14000001,TUSC,Tyrinne Rutherford,206,0.5
S14000001,National Front,Christopher Willett,186,0.4
S14000002,Scottish National Party,Callum McCaig,20221,41.6
S14000002,Labour,Anne Begg,12991,26.8
S14000002,Conservative,Ross Thomson,11087,22.8
S14000002,Liberal Democrat,Denis Rixson,2252,4.6
S14000002,Green Party,Dan Yeats,964,2
S14000002,UKIP,Sandra Skinner,897,1.8
S14000002,Independent,Christopher Gray,139,0.3
S14000058,Scottish National Party,Stuart Donaldson,22949,41.6
S14000058,Conservative,Alexander Burnett,15916,28.8
S14000058,Liberal Democrat,Robert Smith,11812,21.4
S14000058,Labour,Barry Black,2487,4.5
S14000058,UKIP,David Lansdell,1006,1.8
S14000058,Green Party,Richard Openshaw,885,1.6
S14000058,Independent,Graham Reid,141,0.3
S14000003,Scottish National Party,Neil Gray,23887,53.9
S14000003,Labour,Pamela Nash,15108,34.1
S14000003,Conservative,Eric Holford,3389,7.7
S14000003,UKIP,Matt Williams,1088,2.5
S14000003,Liberal Democrat,John Love,678,1.5
S14000003,Independent,Deryck Beaumont,136,0.3
E14000530,Conservative,Gerald Howarth,23369,50.6
E14000530,Labour,Gary Puffett,8468,18.3
E14000530,UKIP,Bill Walker,8253,17.9
E14000530,Liberal Democrat,Alan Hilliar,4076,8.8
E14000530,Green Party,Carl Hewitt,2025,4.4
E14000531,Conservative,Wendy Morton,20558,52
E14000531,Labour,John Fisher,8835,22.4
E14000531,UKIP,Anthony Thompson,7751,19.6
E14000531,Liberal Democrat,Ian Garrett,1330,3.4
E14000531,Green Party,Martyn Curzey,826,2.1
E14000531,Monster Raving Loony Party,Mark Beech,197,0.5
E14000532,Conservative,Graham Brady,26771,53
E14000532,Labour,James Wright,13481,26.7
