constituency_id,name,region,electorate,turnout,status,swing
E14000530,Aldershot,South East,72434,46191,hold,1.18
E14000531,Aldridge-Brownhills,West Midlands,60215,39497,hold,4.92
E14000532,Altrincham and Sale West,North West,72004,50517,hold,0.11
E14000533,Amber Valley,East Midlands,70226,45717,hold,4.02
E14000534,Arundel and South Downs,South East,77272,56477,hold,2.87
E14000535,Ashfield,East Midlands,77126,47409,hold,3.55
E14000536,Ashford,South East,85189,57372,hold,7.98
E14000537,Ashton-under-Lyne,North West,67714,38918,hold,1.99
E14000538,Aylesbury,South East,80611,55419,hold,7.21
E14000539,Banbury,South East,86420,58008,hold,0.97
E14000540,Barking,London,74004,43023,hold,7.98
E14000541,Barnsley Central,Yorkshire and the Humber,64534,36560,hold,4.29
E14000542,Barnsley East,Yorkshire and the Humber,69135,38517,hold,5.65
E14000543,Barrow and Furness,North West,68338,43275,hold,4.98
E14000544,Basildon and Billericay,East of England,68459,43028,hold,0.34
E14000545,Basingstoke,South East,79662,53076,hold,4.64
E14000546,Bassetlaw,East Midlands,77480,49289,hold,0.69
E14000547,Bath,South West,60869,47167,gain,16.68
E14000548,Batley and Spen,Yorkshire and the Humber,78373,50473,hold,1.68
E14000549,Battersea,London,76106,51031,hold,1.65
E14000550,Beaconsfield,South East,76380,53163,hold,3.31
E14000551,Beckenham,London,67436,48803,hold,2.78
E14000552,Bedford,East Anglia,69311,46086,hold,0.31
E14000553,Bermondsey and Old Southwark,London,80604,51424,gain,13.92
E14000554,Berwick-upon-Tweed,North East,58098,40423,gain,9.58
E14000555,Bethnal Green and Bow,London,82825,52924,hold,8.47
E14000556,Beverley and Holderness,Yorkshire and the Humber,80822,52677,hold,1.42
E14000557,Bexhill and Battle,South East,78796,55218,hold,
E14000558,Bexleyheath and Crayford,London,64828,43685,hold,1.46
E14000559,Birkenhead,North West,62438,37680,hold,5.61
E14000560,Birmingham Edgbaston,West Midlands,65591,41293,hold,1.74
E14000561,Birmingham Erdington,West Midlands,65128,34684,hold,2.78
E14000562,Birmingham Hall Green,West Midlands,76330,47046,hold,12.12
E14000563,Birmingham Hodge Hill,West Midlands,75302,41039,hold,8.28
E14000564,Birmingham Ladywood,West Midlands,68128,35916,hold,8.57
E14000565,Birmingham Northfield,West Midlands,71428,42461,hold,0.37
E14000566,Birmingham Perry Barr,West Midlands,69943,41260,hold,3.48
E14000567,Birmingham Selly Oak,West Midlands,75092,45294,hold,5.59
E14000568,Birmingham Yardley,West Midlands,72146,41151,gain,11.69
E14000569,Bishop Auckland,North East,66089,39389,hold,1.89
E14000570,Blackburn,North West,73265,43999,hold,3.67
E14000571,Blackley and Broughton,North West,71900,37112,hold,3.09
E14000572,Blackpool North and Cleveleys,North West,62469,39393,hold,1.59
E14000573,Blackpool South,North West,57411,32436,hold,1.35
E14000574,Blaydon,North East,67706,44936,hold,
E14000575,Blyth Valley,North East,63958,38461,hold,8.09
E14000576,Bognor Regis and Littlehampton,South East,73095,47116,hold,7.67
E14000577,Bolsover,East Midlands,71976,43998,hold,0.67
E14000578,Bolton North East,North West,67901,43161,hold,0.35
E14000579,Bolton South East,North West,69692,40743,hold,8.33
E14000580,Bolton West,North West,72727,48592,gain,0.92
E14000581,Bootle,North West,70137,45152,hold,1.61
E14000582,Boston and Skegness,East Midlands,67834,43339,hold,14.99
E14000583,Bosworth,East Midlands,79742,53582,hold,5.62
E14000584,Bournemouth East,South West,71956,44827,hold,1.29
E14000585,Bournemouth West,South West,72082,41773,hold,4.12
E14000586,Bracknell,South East,78131,53086,hold,1.64
E14000587,Bradford East,Yorkshire and the Humber,66123,41406,gain,9.01
E14000588,Bradford South,Yorkshire and the Humber,63670,37600,hold,2.49
E14000589,Bradford West,Yorkshire and the Humber,63371,40290,gain,6.97
E14000590,Braintree,East Anglia,73557,50283,hold,6.29
E14000591,Brent Central,London,77038,47032,gain,28.36
E14000592,Brent North,London,82196,52235,hold,2.7
E14000593,Brentford and Isleworth,London,84557,57355,gain,2.23
E14000594,Brentwood and Ongar,East Anglia,72461,51897,hold,5.43
E14000595,Bridgwater and Somerset West,South West,80491,54447,hold,6.86
E14000596,Brigg and Goole,Yorkshire and the Humber,68486,43270,hold,7.05
E14000597,Brighton Kemptown,South East,67858,45306,hold,0.79
E14000598,Brighton Pavilion,South East,76557,54676,hold,6.08
E14000599,Bristol East,South West,71965,46213,hold,0.17
E14000600,Bristol North West,South West,76626,51805,hold,1.24
E14000601,Bristol South,South West,81996,50842,hold,0.76
E14000602,Bristol West,South West,89198,64218,gain,18.67
E14000603,Broadland,East of England,74680,53089,hold,0.33
E14000604,Bromley and Chislehurst,London,65476,44066,hold,3.09
E14000605,Bromsgrove,West Midlands,73329,52245,hold,4.87
E14000606,Broxbourne,East Anglia,72944,46024,hold,9.16
E14000607,Broxtowe,East Midlands,71865,53440,hold,3.64
E14000608,Buckingham,South East,77572,53692,hold,6.41
E14000609,Burnley,North West,64486,39746,gain,6.25
E14000610,Burton,West Midlands,75300,49334,hold,5.08
E14000611,Bury North,North West,67580,45230,hold,2.08
E14000612,Bury South,North West,73883,47215,hold,1.8
E14000613,Bury St Edmunds,East Anglia,85993,59341,hold,2.52
E14000614,Calder Valley,Yorkshire and the Humber,77753,53541,hold,2.08
E14000615,Camberwell and Peckham,London,80507,51561,hold,1.96
E14000616,Camborne and Redruth,South West,66944,45868,hold,2.98
E14000617,Cambridge,East Anglia,83384,51774,gain,8.01
E14000618,Cannock Chase,West Midlands,74531,47099,hold,1.72
E14000619,Canterbury,South East,83481,53465,hold,5.17
E14000620,Carlisle,North West,65827,42587,hold,2.25
E14000621,Carshalton and Wallington,London,69866,47613,hold,4.14
E14000622,Castle Point,East Anglia,68170,44729,hold,
E14000623,Devon Central,South West,72737,54448,hold,3.55
E14000624,Central Suffolk and North Ipswich,East Anglia,78782,54089,hold,1.32
E14000625,Charnwood,East Midlands,77269,52261,hold,1.23
E14000626,Chatham and Aylesford,South East,68625,43073,hold,6.37
E14000627,Cheadle,North West,73239,53095,gain,9.19
E14000628,Chelmsford,East of England,78580,53817,hold,0.65
E14000629,Chelsea and Fulham,London,63478,40226,hold,1.06
E14000630,Cheltenham,South West,77286,53735,gain,10.72
E14000631,Chesham and Amersham,South East,73423,52731,hold,5.47
E14000632,Chesterfield,East Midlands,72078,45567,hold,3.27
E14000633,Chichester,South East,83575,57139,hold,2.9
E14000634,Chingford and Woodford Green,London,66691,43804,hold,5.46
E14000635,Chippenham,South West,74225,55407,gain,11.45
E14000636,Chipping Barnet,London,77853,53013,hold,4.56
E14000637,Chorley,North West,74679,51712,hold,1.78
E14000638,Christchurch,South West,69302,49707,hold,5.64
E14000639,Cities of London and Westminster,London,60992,36185,hold,1.63
E14000640,City of Chester,North West,72269,51161,gain,2.85
E14000641,City of Durham,North East,68741,45669,hold,2.99
E14000642,Clacton,East of England,68936,44207,hold,
E14000643,Cleethorpes,Yorkshire and the Humber,70514,45089,hold,3.97
E14000644,Colchester,East Anglia,74203,48593,gain,13.3
E14000645,Colne Valley,Yorkshire and the Humber,82510,56790,hold,0.56
E14000646,Congleton,North West,72398,50976,hold,2.17
E14000647,Copeland,North West,62119,39631,hold,1.24
E14000648,Corby,East Midlands,79775,56174,gain,0.4
E14000649,Coventry North East,West Midlands,76401,42231,hold,0.96
E14000650,Coventry North West,West Midlands,74597,45246,hold,1.77
E14000651,Coventry South,West Midlands,71380,43699,hold,0.54
E14000652,Crawley,South East,73940,48550,hold,0.48
E14000653,Crewe and Nantwich,North West,74039,49896,hold,2.29
E14000654,Croydon Central,London,78171,52941,hold,2.83
E14000655,Croydon North,London,85951,53522,hold,4.01
E14000656,Croydon South,London,82010,57712,hold,0.59
E14000657,Dagenham and Rainham,London,69049,43015,hold,12.53
E14000658,Darlington,North East,65832,41141,hold,0.11
E14000659,Dartford,South East,76686,52418,hold,1.16
E14000660,Daventry,East Midlands,72753,52518,hold,0.31
E14000661,Denton and Reddish,North West,66574,38681,hold,0.53
E14000662,Derby North,East Midlands,64739,44745,gain,0.73
E14000663,Derby South,East Midlands,70247,40820,hold,3.38
E14000664,Derbyshire Dales,East Midlands,63470,47361,hold,1.54
E14000665,Devizes,South West,69211,48836,hold,4.05
E14000666,Dewsbury,Yorkshire and the Humber,79765,53630,gain,2.77
E14000667,Don Valley,Yorkshire and the Humber,71299,42486,hold,6.32
E14000668,Doncaster Central,Yorkshire and the Humber,71136,40420,hold,5.66
E14000669,Doncaster North,Yorkshire and the Humber,70898,39501,hold,6.59
E14000670,Dover,South East,72929,50224,hold,1.03
E14000671,Dudley North,West Midlands,60718,38018,hold,4.62
E14000672,Dudley South,West Midlands,60363,38210,hold,0.54
E14000673,Dulwich and West Norwood,London,75244,51362,hold,3.48
E14000674,Ealing Central and Acton,London,71238,50894,gain,4.21
E14000675,Ealing North,London,73836,48510,hold,2.95
E14000676,Ealing Southall,London,65495,43321,hold,10.79
E14000677,Easington,North East,61675,34624,hold,5.99
E14000678,East Devon,South West,74224,54717,hold,
E14000679,East Ham,London,87378,52290,hold,5.13
E14000680,East Hampshire,South East,72600,51649,hold,2.61
E14000681,East Surrey,South East,79654,56103,hold,4.73
E14000682,East Worthing and Shoreham,South East,74272,49898,hold,0.9
E14000683,East Yorkshire,Yorkshire and the Humber,81030,49991,hold,1.35
E14000684,Eastbourne,South East,78262,52907,gain,3.99
E14000685,Eastleigh,South East,79609,55505,gain,11.84
E14000686,Eddisbury,North West,68636,47352,hold,1.36
E14000687,Edmonton,London,66015,41338,hold,6.75
E14000688,Ellesmere Port and Neston,North West,68134,46727,hold,1.82
